,corrected_question,sparql_query,answer,entity,wiki_answer
2662,Where is Snake Island located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Snake_Island_(Black_Sea)> <http://dbpedia.org/property/locationCountry> ?uri } ,['http://dbpedia.org/resource/Ukraine'],Snake Island,2002
2668,Which company owns Evraz ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Evraz> <http://dbpedia.org/ontology/owningCompany> ?uri } ,['http://dbpedia.org/resource/Roman_Abramovich'],Evraz,EVRAZ
2676,Where is the office of P Elmo Futrell Jr?,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/P._Elmo_Futrell,_Jr.> <http://dbpedia.org/property/office> ?uri  . }",[],Elmo,The Furchester Hotel
2678,What are the last two studio albums of Moondog Matinee ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Moondog_Matinee> <http://dbpedia.org/ontology/subsequentWork> ?uri } ,[],Moondog Matinee,"""Promised Land"""
2689,Who appointed William L. Dayton ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_L._Dayton> <http://dbpedia.org/ontology/appointer> ?uri } ,[],Dayton,National Geographic
2693,To which educational institutions did Lesli Sanchez go for her studies?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Leslie_Sanchez> <http://dbpedia.org/ontology/education> ?uri } ,"['http://dbpedia.org/resource/George_Washington_University', 'http://dbpedia.org/resource/Johns_Hopkins_University']",Lesli Sanchez,"Sorry, answer not found!"
2695,Name the sstadium of 2015 Pro Duta FC season ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2015_Pro_Duta_FC_season> <http://dbpedia.org/property/stadium> ?uri } ,"['http://dbpedia.org/resource/Indonesia', 'http://dbpedia.org/resource/Stadio_degli_Oliveti', 'http://dbpedia.org/resource/Medan', 'http://dbpedia.org/resource/Teladan_Stadium', 'Cavanis Stadium', 'SGU BSD-City Field', 'SPH Karawaci Field', 'Stadio Buon Riposo', 'Stadio Cavanis', 'T.D. Pardede Field']",Pro Duta FC,Adidas
2697,Pointe d'Aveneyre belongs to which mountain range?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pointe_d'Aveneyre> <http://dbpedia.org/ontology/mountainRange> ?uri } ,['http://dbpedia.org/resource/Swiss_Prealps'],mountain range,Rocky Mountains of Colorado
2712,What is the parent company of Edsel?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Edsel> <http://dbpedia.org/property/parent> ?uri } ,['http://dbpedia.org/resource/Ford_Motor_Company'],Edsel,NASCAR
2717,What is the route junction of Rhode Island Route 15 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rhode_Island_Route_15> <http://dbpedia.org/ontology/routeJunction> ?uri } ,[],Rhode Island Route 15,Anawan Road
2720,From which country is Lawrence Okoye's nationality ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lawrence_Okoye> <http://dbpedia.org/property/nationality> ?uri } ,['http://dbpedia.org/resource/Great_Britain'],Lawrence Okoye,Nigerian
2722,Name the associate acts of  Martin Pugh?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Martin_Pugh> <http://dbpedia.org/property/associatedActs> ?uri } ,"['http://dbpedia.org/resource/7th_Order', 'http://dbpedia.org/resource/Armageddon_(British_band)', 'http://dbpedia.org/resource/Rod_Stewart', 'http://dbpedia.org/resource/Faces_(band)', 'http://dbpedia.org/resource/Steamhammer_(band)']",Martin,comedian
2727,What are the tenants of Mercedes-Benz Superdome?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mercedes-Benz_Superdome> <http://dbpedia.org/ontology/tenant> ?uri } ,"['http://dbpedia.org/resource/New_Orleans_Bowl', 'http://dbpedia.org/resource/Tulane_Green_Wave_football', 'http://dbpedia.org/resource/New_Orleans_Breakers', 'http://dbpedia.org/resource/New_Orleans_Jazz_(NBA_team)', 'http://dbpedia.org/resource/New_Orleans_Night', 'http://dbpedia.org/resource/New_Orleans_Pelicans_(baseball)', 'http://dbpedia.org/resource/New_Orleans_Saints', 'http://dbpedia.org/resource/New_Orleans_VooDoo', 'http://dbpedia.org/resource/Sugar_Bowl']",Mercedes-Benz Superdome,Al Hirt and Pete Fountain
2732,What is the mouth mountain of Current River (Missouri) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Current_River_(Missouri)> <http://dbpedia.org/ontology/mouthMountain> ?uri } ,[],Current River (Missouri),Doniphan
2741,Which company manufactured Delta III?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Delta_III> <http://dbpedia.org/ontology/manufacturer> ?uri } ,"['http://dbpedia.org/resource/Boeing', 'http://dbpedia.org/resource/Mitsubishi_Heavy_Industries', 'http://dbpedia.org/resource/H-II']",Delta III,orbital launchers
2743,Who is the artist of Time Radio hour ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Theme_Time_Radio_Hour> <http://dbpedia.org/property/creator> ?uri } ,"['http://dbpedia.org/resource/Bob_Dylan', 'http://dbpedia.org/resource/Eddie_Gorodetsky']",Time Radio hour,"Sorry, answer not found!"
2744,List the prospect team of Robin Kovacs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robin_Kovacs> <http://dbpedia.org/property/prospectTeam> ?uri } ,[],Robin Kovacs,Kovacs was found guilty and later fined for reckless driving
2767,"Where does Truman McGill Hobbs, United States District Judge live?", SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Truman_McGill_Hobbs> <http://dbpedia.org/property/residence> ?uri } ,[],United States District Judge,federal judicial circuit
2770,What is the religious affiliation of Hong Kong Taoist Association Tang Hin Memorial Secondary School ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hong_Kong_Taoist_Association_Tang_Hin_Memorial_Secondary_School> <http://dbpedia.org/property/religiousAffiliation> ?uri } ,['http://dbpedia.org/resource/Taoism'],Tang,Tange
2779,Where was MacKenzie Miller born?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/MacKenzie_Miller> <http://dbpedia.org/property/birthPlace> ?uri } ,"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Versailles,_Kentucky', 'http://dbpedia.org/resource/Kentucky']",MacKenzie Miller,Hawaii
2788,List the members of Skull Gang?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Skull_Gang> <http://dbpedia.org/ontology/bandMember> ?uri } ,['http://dbpedia.org/resource/Juelz_Santana'],Skull Gang,"Sorry, answer not found!"
2789,How did Letitia MacTavish Hargrave died ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Letitia_MacTavish_Hargrave> <http://dbpedia.org/ontology/deathCause> ?uri } ,[],Letitia MacTavish Hargrave,1947
2793,Name the mouth country of Upper Neretva ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/mouthCountry> ?uri } ,[],Upper Neretva,Dinaric Alps
2802,where are renaissance centers located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Renaissance_Center> <http://dbpedia.org/property/address> ?uri } ,"[400, 'http://dbpedia.org/resource/Detroit', 'http://dbpedia.org/resource/Michigan']",NotFound,"Sorry, answer not found!"
2819,What is the prize awarded to Bruce Beutler ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bruce_Beutler> <http://dbpedia.org/ontology/award> ?uri } ,"['http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine', 'http://dbpedia.org/resource/Nobel_Prize']",Bruce Beutler,Nobel Prize
2821,Where did Marvo originate?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mavro> <http://dbpedia.org/ontology/origin> ?uri } ,['http://dbpedia.org/resource/Cyprus'],Marvo,"Sorry, answer not found!"
2822,What is the burial place of Iyoas I ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Iyoas_I> <http://dbpedia.org/property/placeOfBurial> ?uri } ,[],Iyoas I,Qusquam
2829,What was founded by Congress of Industrial Organizations ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Congress_of_Industrial_Organizations> <http://dbpedia.org/property/founded> ?uri } ,"[datetime.date(1935, 11, 9), 'http://dbpedia.org/resource/Pittsburgh']",Congress,Canadian Labour Congress
2835,Which company is the parent company of Chevrolet Spark ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chevrolet_Spark> <http://dbpedia.org/property/parentCompany> ?uri } ,[],Chevrolet Spark,GM India
2846,Who is the publisher of The Rolling Stone Album Guide ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Rolling_Stone_Album_Guide> <http://dbpedia.org/ontology/publisher> ?uri } ,"['http://dbpedia.org/resource/Fireside_Books', 'http://dbpedia.org/resource/Random_House', 'http://dbpedia.org/resource/Rolling_Stone']",The Rolling Stone Album Guide,Random House
2858,Who is the designer of Saleen S5S Raptor ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saleen_S5S_Raptor> <http://dbpedia.org/property/designer> ?uri  . },"['http://dbpedia.org/resource/ASC_Creative_Services', 'http://dbpedia.org/resource/Michigan', 'http://dbpedia.org/resource/Warren,_Michigan']",Saleen,Chip Foose
2861,Name the first driver of 1999 San Marino Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1999_San_Marino_Grand_Prix> <http://dbpedia.org/ontology/firstDriver> ?uri } ,['http://dbpedia.org/resource/Michael_Schumacher'],1999 San Marino Grand Prix,Patrick Tambay
2865,Which is the largest city of Union State ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Union_State> <http://dbpedia.org/property/largestCity> ?uri } ,['http://dbpedia.org/resource/Moscow'],Union,Gabrielle Union
2874,What was the stadium of Panionios G.S.S. in 2014-15 season ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2014–15_Panionios_G.S.S._season> <http://dbpedia.org/property/stadium> ?uri } ,[],Panionios G.S.S.,Connecticut
2878,What are the type of Greenup County High School?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Greenup_County_High_School> <http://dbpedia.org/property/type> ?uri } ,"['http://dbpedia.org/resource/Secondary_school', 'http://dbpedia.org/resource/State_school', 'http://dbpedia.org/resource/Kentucky', 'http://dbpedia.org/resource/Rural_area']",Greenup County High School,Competitive Cheerleading
2884,What is the label of Next Thing ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Next_Thing> <http://dbpedia.org/ontology/recordLabel> ?uri } ,[],Thing,listening device
2892,"What is the style of architecture of Shaheed Minar, Kolkata ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Shaheed_Minar,_Kolkata> <http://dbpedia.org/ontology/architecturalStyle> ?uri } ","['http://dbpedia.org/resource/Ottoman_architecture', 'http://dbpedia.org/resource/Syria', 'http://dbpedia.org/resource/Egyptian_architecture']","Shaheed Minar, Kolkata",political rallies and fairs
2894,List all the houses of United States Congress ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_States_Congress> <http://dbpedia.org/property/houses> ?uri } ,"['http://dbpedia.org/resource/United_States_House_of_Representatives', 'http://dbpedia.org/resource/United_States_Senate']",United States Congress,House and Senate
2900,who operates the south side elevated railroad?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Side_Elevated_Railroad> <http://dbpedia.org/ontology/operatedBy> ?uri } ,[],south side elevated railroad,"Sorry, answer not found!"
2902,In which timezone does Khok Kwang lie?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Khok_Kwang> <http://dbpedia.org/ontology/timeZone> ?uri } ,['http://dbpedia.org/resource/Time_in_Thailand'],Khok Kwang,"Sorry, answer not found!"
2909,To which military division does Clark Daniel Stearns belong?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Clark_Daniel_Stearns> <http://dbpedia.org/ontology/militaryBranch> ?uri } ,['http://dbpedia.org/resource/United_States_Navy'],Clark Daniel Stearns,American Samoa
2910,Who are the opponents of Gervase Helwys?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gervase_Helwys> <http://dbpedia.org/ontology/opponent> ?uri } ,"['http://dbpedia.org/resource/Sir_Edward_Coke', 'http://dbpedia.org/resource/Sir_Francis_Bacon']",Gervase Helwys,political enemies
2918,From where did Ben Wilson (American football) do his highscool?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ben_Wilson_(American_football)> <http://dbpedia.org/ontology/highschool> ?uri } ,"['http://dbpedia.org/resource/Carver_High_School_(Houston,_Texas)']",SpacyError,"Sorry, answer not found!"
2924,Where did Allama Matthews study?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Allama_Matthews> <http://dbpedia.org/ontology/college> ?uri } ,['http://dbpedia.org/resource/Vanderbilt_University'],Allama Matthews,"Sorry, answer not found!"
2929,name the Glover's distributer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Glover_(video_game)> <http://dbpedia.org/ontology/distributor> ?uri } ,[],Glover,Yeovil Town F.C.
2954,Name the presenter of Shirley Temple's Storybook ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Shirley_Temple's_Storybook> <http://dbpedia.org/property/presenter> ?uri } ,['http://dbpedia.org/resource/Shirley_Temple'],Shirley Temple,Jay Gorney
2963,Where is the birthplace of Ferrel Harris ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ferrel_Harris> <http://dbpedia.org/property/birthplace> ?uri } ,"['http://dbpedia.org/resource/Seale,_Alabama']",Ferrel Harris,Cox Farm
2968,Who were the producers of the tenderfoot?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Tenderfoot_(miniseries)> <http://dbpedia.org/ontology/producer> ?uri } ,[],NotFound,"Sorry, answer not found!"
2969,Name the route start of Saint Petersburg  Moscow Railway ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saint_Petersburg_–_Moscow_Railway> <http://dbpedia.org/ontology/routeStart> ?uri } ,[],Moscow Railway,Museum
2970,Name the sport league of Hampton Roads Rhinos ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hampton_Roads_Rhinos> <http://dbpedia.org/property/league> ?uri } ,['http://dbpedia.org/resource/National_Hockey_League'],Hampton,"Virginia
Hampton Pirates"
2979,"Which river goes through cohoes, NY"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cohoes,_New_York> <http://dbpedia.org/ontology/river> ?uri } ",[],NY,ny (digraph)
2984,List the country of Tokaj wine region ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tokaj_wine_region> <http://dbpedia.org/property/country> ?uri } ,"['http://dbpedia.org/resource/Slovakia', 'http://dbpedia.org/resource/Hungary']",Tokaj wine region,Slovakia
2988,For what is Abhijit Kunte known ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Abhijit_Kunte> <http://dbpedia.org/property/knownFor> ?uri } ,['http://dbpedia.org/resource/Chess'],Abhijit Kunte,chess player
2989,Who is the author of Karakuri Dji Ultimo ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Karakuri_Dôji_Ultimo> <http://dbpedia.org/property/author> ?uri } ,[],Ultimo,Ultima
2992,What is the mascot of Galatasaray Handball Team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Galatasaray_Handball_Team> <http://dbpedia.org/property/mascot> ?uri } ,['http://dbpedia.org/resource/Lion'],Galatasaray,Gloria
2997,Where was Ganefo hosted?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/GANEFO> <http://dbpedia.org/property/hostCity> ?uri } ,"['http://dbpedia.org/resource/Cambodia', 'http://dbpedia.org/resource/Phnom_Penh', 'Jakarta, Indonesia']",Ganefo,"Sorry, answer not found!"
3014,What is the affiliation of Vanderbilt University Medical Center ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vanderbilt_University_Medical_Center> <http://dbpedia.org/property/affiliation> ?uri } ,['http://dbpedia.org/resource/Vanderbilt_University'],Vanderbilt University Medical Center,Physiology
3024,What city is the residence of Cheryl Teigs?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cheryl_Tiegs> <http://dbpedia.org/ontology/residence> ?uri } ,[],Cheryl Teigs,"Sorry, answer not found!"
3026,Who is the successor of Quest Software ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Quest_Software> <http://dbpedia.org/property/successor> ?uri } ,[],Quest Software,2004
3028,Where is the  assembly of Caterpillar 797 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Caterpillar_797> <http://dbpedia.org/ontology/assembly> ?uri } ,['http://dbpedia.org/resource/North_America'],Caterpillar 797,MINExpo International
3032,Name the constituency of  Jonas Gahr Stre ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jonas_Gahr_Støre> <http://dbpedia.org/property/constituency> ?uri } ,['http://dbpedia.org/resource/Oslo'],Jonas Gahr Stre,"Sorry, answer not found!"
3034,Where did Goran Cengic die?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goran_Čengić> <http://dbpedia.org/property/deathPlace> ?uri } ,"['Sarajevo, Bosnia and Herzegovina']",Goran Cengic,Sarajevo's Bare Cemetery
3035,What is the profession of Claiborne Pell ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Claiborne_Pell> <http://dbpedia.org/ontology/profession> ?uri } ,[],Claiborne Pell,communicant
3038,Where is the hometown of A Bartlett Giamatti?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A._Bartlett_Giamatti> <http://dbpedia.org/ontology/hometown> ?uri } ,[],Bartlett Giamatti,Boston
3039,What are the professions of Frederick Frelinghuysen (general) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frederick_Frelinghuysen_(general)> <http://dbpedia.org/property/occupation> ?uri } ,"['http://dbpedia.org/resource/United_States_Senate', 'http://dbpedia.org/resource/General_officer', 'http://dbpedia.org/resource/Lawyer']",Frelinghuysen,Johann Anastasius Freylinghausen
3041,Name the species of Southwest African lion ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Southwest_African_lion> <http://dbpedia.org/ontology/species> ?uri } ,[],African lion,Lions
3045,Who was the narrator in the point?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Point!> <http://dbpedia.org/property/narrated> ?uri } ,"['http://dbpedia.org/resource/Alan_Thicke', 'http://dbpedia.org/resource/Dustin_Hoffman', 'http://dbpedia.org/resource/Ringo_Starr', 'Alan Barzman']",NotFound,"Sorry, answer not found!"
3052,What is the national origin of Focke-Wulf Fw 260 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Focke-Wulf_Fw_260> <http://dbpedia.org/property/nationalOrigin> ?uri } ,['http://dbpedia.org/resource/West_Germany'],Focke-Wulf Fw 260,Dornier Do 31
3056,List the races of Fergie Sutherland?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fergie_Sutherland> <http://dbpedia.org/property/race> ?uri } ,"['http://dbpedia.org/resource/Irish_Gold_Cup', 'http://dbpedia.org/resource/Cheltenham_Gold_Cup', 'http://dbpedia.org/resource/Nas_Na_Riogh_Novice_Chase', 'http://dbpedia.org/resource/Queen_Mary_Stakes', 'http://dbpedia.org/resource/Clonmel_Oil_Chase', 'Falmouth Stakes']",Fergie Sutherland,"horse riding, shooting and dancing."
3058,Where is the gold coast football club located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gold_Coast_Football_Club> <http://dbpedia.org/property/location> ?uri } ,[],football,United States
3062,Name the wine regions of Baco noir?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Baco_noir> <http://dbpedia.org/ontology/wineRegion> ?uri } ,"['http://dbpedia.org/resource/Michigan', 'http://dbpedia.org/resource/Mississippi', 'http://dbpedia.org/resource/Ontario', 'http://dbpedia.org/resource/Oregon', 'http://dbpedia.org/resource/Pennsylvania', 'http://dbpedia.org/resource/New_Mexico_wine', 'http://dbpedia.org/resource/New_York_(state)', 'http://dbpedia.org/resource/Wisconsin']",Baco noir,2. BC Baco Noir wineries
3065,List the doctoral students of Harry Harlow ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Harry_Harlow> <http://dbpedia.org/property/doctoralStudents> ?uri } ,"['http://dbpedia.org/resource/Abraham_Maslow', 'http://dbpedia.org/resource/Stephen_Suomi']",Harry Harlow,Calvin Stone and Lewis Terman
3068,In which department does Raymond Baldwin work?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Raymond_E._Baldwin> <http://dbpedia.org/property/branch> ?uri } ,[],Raymond Baldwin,Connecticut Statesman
3086,Name the musical band of Written in the Stars ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Written_in_the_Stars_(Elton_John_and_LeAnn_Rimes_song)> <http://dbpedia.org/ontology/musicalBand> ?uri } ,[],NotFound,"Sorry, answer not found!"
3088,What is the venerated in of Edwin of Northumbria ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Edwin_of_Northumbria> <http://dbpedia.org/property/veneratedIn> ?uri } ,"['http://dbpedia.org/resource/Catholic_Church', 'http://dbpedia.org/resource/Eastern_Orthodox_Church', 'http://dbpedia.org/resource/Anglican_Communion']",Northumbria,Danelaw
3090,Where was Picasso's Last Words recorded ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Picasso's_Last_Words_(Drink_to_Me)> <http://dbpedia.org/property/recorded> ?uri } ,['September–October 1973'],Picasso,The New Yorker
3099,Who is the author of Karakuri Dji Ultimo ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Karakuri_Dôji_Ultimo> <http://dbpedia.org/ontology/author> ?uri } ,[],Ultimo,Ultima
3100,What is the official residence of Fergus McMaster ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fergus_McMaster> <http://dbpedia.org/ontology/residence> ?uri } ,[],Fergus McMaster,Morinish
3122,What is the government type of Kumta ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kumta> <http://dbpedia.org/property/governmentType> ?uri } ,[],Kumta,Hegde (village
3140,Where is Vietnam Airlines located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vietnam_Airlines> <http://dbpedia.org/ontology/location> ?uri } ,"['http://dbpedia.org/resource/Hanoi', 'http://dbpedia.org/resource/Vietnam', 'http://dbpedia.org/resource/Long_Bien_District']",Vietnam Airlines,Don Mueang International Airport
3143,What is the route end of NorthSouth Transport Corridor ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/North–South_Transport_Corridor> <http://dbpedia.org/ontology/routeEnd> ?uri } ,[],NorthSouth Transport Corridor,"Sorry, answer not found!"
3153,Who were the founders of Sea Gayle Music?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sea_Gayle_Music> <http://dbpedia.org/property/founder> ?uri } ,[],Sea Gayle Music,Brad Paisley
3158,What is the military branch of John Tower ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Tower> <http://dbpedia.org/ontology/militaryBranch> ?uri } ,[],John Tower,Navy
3166,who is the husband of Rosie Huntington Whiteley?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rosie_Huntington-Whiteley> <http://dbpedia.org/ontology/partner> ?uri } ,['http://dbpedia.org/resource/Jason_Statham'],Whiteley,96.95%
3170,Who are the local authority of Buckhurst Hill County High School ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Buckhurst_Hill_County_High_School> <http://dbpedia.org/ontology/localAuthority> ?uri } ,[],Hill County,"Sorry, answer not found!"
3172,List all the former broadcast network of WMDN ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WMDN> <http://dbpedia.org/ontology/formerBroadcastNetwork> ?uri } ,[],WMDN,three
3178,Name the party of Indira Gandhi ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Indira_Gandhi> <http://dbpedia.org/ontology/party> ?uri } ,['http://dbpedia.org/resource/Indian_National_Congress'],Indira Gandhi,Indian National Congress
3179,"Who was the opponent of Robert Carr, 1st Earl of Somerset ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_Carr,_1st_Earl_of_Somerset> <http://dbpedia.org/ontology/opponent> ?uri } ",['http://dbpedia.org/resource/Francis_Bacon'],Somerset,King Alfred
3181,What is the mascot of Celal Bayar University ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Celal_Bayar_University> <http://dbpedia.org/property/mascot> ?uri } ,[],Celal Bayar University,Ahmet Ataç
3184,Name the constituency of Domenico Modugno ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Domenico_Modugno> <http://dbpedia.org/property/constituency> ?uri } ,"['http://dbpedia.org/resource/Turin', 'Rome IV']",Domenico,"Dominic
Domenic"
3187,What discipline was The Chess Monthly about ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Chess_Monthly> <http://dbpedia.org/property/discipline> ?uri } ,['http://dbpedia.org/resource/Chess'],The Chess Monthly,Chess
3193,Where was WiZeefa founded ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WiZeefa> <http://dbpedia.org/property/foundation> ?uri } ,[],WiZeefa,"Sorry, answer not found!"
3195,Where is Richard Stites located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Richard_Stites> <http://dbpedia.org/ontology/birthPlace> ?uri } ,"['http://dbpedia.org/resource/Philadelphia,_Pennsylvania']",Richard Stites,"Sorry, answer not found!"
3198,Who composed the lyrics of Holler If Ya Hear Me ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Holler_If_Ya_Hear_Me_(musical)> <http://dbpedia.org/property/lyrics> ?uri } ,['http://dbpedia.org/resource/Tupac_Shakur'],Holler If Ya Hear Me,Young Thugz
3202,What is the hometown of John Speraw ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Speraw> <http://dbpedia.org/property/hometown> ?uri } ,['http://dbpedia.org/resource/California'],John Speraw,UCLA
3209,What is the academic discipline of Journal of Cerebral Blood Flow & Metabolism ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Journal_of_Cerebral_Blood_Flow_&_Metabolism> <http://dbpedia.org/ontology/academicDiscipline> ?uri } ,"['http://dbpedia.org/resource/Neuroimaging', 'http://dbpedia.org/resource/Cerebral_blood_flow', 'http://dbpedia.org/resource/Brain_metabolism']",Journal of Cerebral Blood Flow & Metabolism,"Sorry, answer not found!"
3221,Where was David Scherman trained ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/ontology/training> ?uri } ,['http://dbpedia.org/resource/Dartmouth_College'],David Scherman,editor
3225,Who is the president when Loretta Ucelli used to work for Democratic party?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Loretta_Ucelli> <http://dbpedia.org/ontology/president> ?uri } ,[],Democratic,2014 documentary about politics in Zimbabwe
3242,City of Miami Cemetery is the governing body of which city?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/City_of_Miami_Cemetery> <http://dbpedia.org/property/governingBody> ?uri } ,[],city,Metropolis
3247,Where was Babita born ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Babita> <http://dbpedia.org/property/birthplace> ?uri } ,[],Babita,Karachi
